job_id,title,company,category,collar_type,description,key_responsibilities,required_skills,preferred_skills,required_experience_years,required_education,preferred_certifications,location_city,location_province,salary_min_zmw,salary_max_zmw,employment_type,work_schedule,language_requirements,application_deadline,posted_date,benefits,growth_opportunities,company_size,industry_sector
JOB000011,Registered Nurse,University Teaching Hospital,Healthcare,Pink,"University Teaching Hospital is seeking a dedicated Registered Nurse to provide comprehensive patient care in our busy medical facility. You will work with a multidisciplinary team to deliver quality healthcare services to patients from across Zambia, ensuring the highest standards of medical care and patient safety.",Provide patient care; Administer medications; Monitor patient conditions; Maintain medical records; Collaborate with doctors,"Nursing Care, Patient Assessment, Medication Administration, Emergency Response","Specialized Nursing, ICU Experience, Pediatric Care",3,Diploma,"Registered Nurse License, BLS Certification",Lusaka,Lusaka Province,4500,8500,Permanent,Shift work,"English (Fluent), Nyanja",10/12/2025,28/10/2025,"Medical insurance, Housing allowance, Professional development","Specialization opportunities, Nurse supervisor roles, Clinical instruction",Enterprise (1000+),Healthcare
JOB000012,Medical Doctor,Levy Mwanawasa Hospital,Healthcare,Pink,"Levy Mwanawasa Hospital requires a qualified Medical Doctor to join our medical team providing specialized healthcare services. You will diagnose and treat patients, conduct medical procedures, and contribute to our mission of delivering excellent medical care to the Zambian community.",Diagnose medical conditions; Prescribe treatments; Perform medical procedures; Supervise medical staff; Maintain patient records,"Medical Diagnosis, Clinical Procedures, Patient Management, Emergency Medicine","Specialized Medicine, Surgical Skills, Research Experience",5,Master's Degree,"Medical Council Registration, Advanced Life Support",Lusaka,Lusaka Province,12000,22000,Permanent,Full-time,"English (Fluent), Bemba",15/12/2025,01/11/2025,"Comprehensive medical cover, Research opportunities, Housing allowance","Specialist consultant roles, Department head positions, Academic medicine",Large (201-1000),Healthcare
JOB000013,Laboratory Technician,Chipata Central Hospital,Healthcare,Pink,Chipata Central Hospital is hiring a Laboratory Technician to perform diagnostic tests and support our medical laboratory operations. You will work with modern laboratory equipment to analyze samples and provide accurate results for patient diagnosis and treatment.,Perform laboratory tests; Analyze samples; Maintain equipment; Ensure quality control; Record test results,"Laboratory Techniques, Microscopy, Hematology, Biochemistry","Molecular Diagnostics, Quality Management, Laboratory Information Systems",2,Diploma,Medical Laboratory Technician Certification,Chipata,Eastern Province,3500,6500,Permanent,Full-time,English (Proficient),08/12/2025,25/10/2025,"Medical aid, Uniform allowance, Training programs","Senior technician roles, Laboratory management, Specialized testing",Medium (51-200),Healthcare
JOB000014,Pharmacist,Kitwe Central Hospital,Healthcare,Pink,"Kitwe Central Hospital seeks a qualified Pharmacist to manage our pharmacy operations and ensure safe medication distribution. You will dispense medications, provide drug information to healthcare professionals, and maintain pharmaceutical inventory for patient care.",Dispense medications; Manage inventory; Provide drug information; Ensure compliance; Supervise pharmacy staff,"Pharmaceutical Knowledge, Inventory Management, Patient Counseling","Clinical Pharmacy, Drug Information, Pharmacy Management",4,Bachelor's Degree,Pharmacy Council License,Kitwe,Copperbelt Province,8000,15000,Permanent,Full-time,"English (Fluent), Bemba",12/12/2025,30/10/2025,"Medical insurance, Professional indemnity, Continuing education","Pharmacy management, Clinical specialization, Retail pharmacy ownership",Large (201-1000),Healthcare
JOB000015,Radiographer,Livingstone Central Hospital,Healthcare,Pink,"Livingstone Central Hospital is looking for a Radiographer to operate medical imaging equipment and produce diagnostic images for patient care. You will work with X-ray, CT, and MRI equipment while ensuring patient safety and image quality in our radiology department.",Operate imaging equipment; Position patients; Process images; Maintain safety standards; Quality assurance,"Radiography Techniques, Radiation Safety, Image Processing","CT Scanning, MRI Operations, Ultrasound, PACS Systems",3,Diploma,"Radiography License, Radiation Safety Certification",Livingstone,Southern Province,5000,9500,Permanent,Full-time,English (Proficient),14/12/2025,02/11/2025,"Medical cover, Safety allowances, Professional development","Senior radiographer roles, Imaging specialization, Department supervision",Medium (51-200),Healthcare
JOB000016,Physiotherapist,Lusaka Trust Hospital,Healthcare,Pink,"Lusaka Trust Hospital requires a Physiotherapist to provide rehabilitation services to patients with physical disabilities and injuries. You will assess patient needs, develop treatment plans, and implement therapeutic exercises to improve mobility and function.",Assess patients; Develop treatment plans; Implement therapy; Monitor progress; Educate patients,"Therapeutic Exercises, Manual Therapy, Rehabilitation Techniques","Sports Medicine, Pediatric Physio, Neurological Rehabilitation",3,Bachelor's Degree,"Physiotherapy License, CPR Certified",Lusaka,Lusaka Province,6000,11000,Permanent,Full-time,"English (Fluent), Nyanja",18/12/2025,06/11/2025,"Medical insurance, Professional development fund, Flexible schedule","Clinical specialization, Private practice opportunities, Department head",Small (1-50),Healthcare
JOB000017,Medical Officer,Cure Zambia Hospital,Healthcare,Pink,Cure Zambia Hospital is seeking a Medical Officer to provide general medical care and support our specialized pediatric services. You will work in a team environment focused on providing compassionate care to children and families across Zambia.,Provide medical care; Conduct examinations; Order diagnostic tests; Prescribe treatments; Supervise clinical staff,"General Medicine, Pediatric Care, Emergency Medicine, Clinical Procedures","Specialized Pediatrics, Surgical Assistance, Research Skills",4,Bachelor's Degree,"Medical Council Registration, Pediatric Advanced Life Support",Lusaka,Lusaka Province,9000,16000,Contract,Full-time,English (Fluent),20/12/2025,08/11/2025,"Comprehensive benefits, Housing allowance, Research opportunities","Specialist training, Medical leadership roles, International fellowships",Medium (51-200),Healthcare
JOB000018,Clinical Officer,Zambia National Blood Transfusion Service,Healthcare,Pink,"Zambia National Blood Transfusion Service needs a Clinical Officer to support our blood collection and transfusion services. You will conduct donor screenings, perform phlebotomy, and ensure the safety of blood products for transfusion across healthcare facilities.",Screen blood donors; Perform phlebotomy; Process blood products; Maintain records; Ensure safety protocols,"Phlebotomy, Donor Screening, Blood Banking, Medical Assessment","Transfusion Medicine, Quality Systems, Laboratory Safety",2,Diploma,"Clinical Officer License, Phlebotomy Certification",Lusaka,Lusaka Province,4000,7500,Permanent,Full-time,"English (Proficient), Local languages",11/12/2025,29/10/2025,"Medical insurance, Travel allowance, Professional training","Senior clinical roles, Quality management, Blood bank supervision",Medium (51-200),Healthcare
JOB000019,Lecturer,University of Zambia,Education,White,"The University of Zambia is seeking a qualified Lecturer to join our academic faculty in delivering high-quality education to Zambian students. You will develop course materials, deliver lectures, conduct research, and contribute to the academic excellence of our institution.",Deliver lectures; Develop course materials; Conduct research; Supervise students; Mark assignments,"Subject Matter Expertise, Teaching Methodology, Research Skills","Publication Record, Grant Writing, Curriculum Development",4,Master's Degree,"Teaching Council Registration, Subject Specialization",Lusaka,Lusaka Province,8000,15000,Permanent,Full-time,English (Fluent),15/12/2025,01/11/2025,"Housing allowance, Research grants, Sabbatical leave","Senior lecturer roles, Department head, Professor promotion",Large (201-1000),Education
JOB000020,Mathematics Teacher,Copperbelt University,Education,White,"Copperbelt University requires a Mathematics Teacher to inspire and educate students in mathematical concepts and applications. You will create engaging lesson plans, assess student progress, and foster a positive learning environment for higher education students.",Prepare lesson plans; Deliver instruction; Assess students; Provide feedback; Maintain records,"Mathematics Knowledge, Teaching Strategies, Assessment Methods","Advanced Mathematics, Educational Technology, Student Mentoring",3,Bachelor's Degree,"Teaching License, Mathematics Specialization",Kitwe,Copperbelt Province,6000,11000,Permanent,Full-time,English (Fluent),12/12/2025,30/10/2025,"Housing allowance, Professional development, Research support","Head of department, Curriculum development, Educational leadership",Large (201-1000),Education
JOB000021,Science Teacher,Zambia Open University,Education,White,"Zambia Open University is seeking a Science Teacher to deliver engaging science education through both online and in-person platforms. You will develop curriculum materials, conduct laboratory sessions, and inspire students to pursue scientific careers in Zambia's growing technology and research sectors.",Develop science curriculum; Conduct laboratory sessions; Assess student work; Provide academic guidance; Maintain lab equipment,"Biology/Chemistry/Physics Knowledge, Laboratory Management, Teaching Methodology","Educational Technology, Research Experience, Science Communication",3,Bachelor's Degree,Teaching Council Registration,Lusaka,Lusaka Province,5500,10000,Permanent,Full-time,English (Fluent),14/12/2025,02/11/2025,"Housing allowance, Research grants, Professional development","Department leadership, Curriculum development, Research coordination",Medium (51-200),Education
JOB000022,English Teacher,Zambia Centre for Accountancy Studies,Education,White,"Zambia Centre for Accountancy Studies requires an English Teacher to enhance communication skills for business and accounting students. You will focus on professional writing, presentation skills, and business communication essential for Zambia's corporate environment.",Teach business communication; Develop writing skills; Assess language proficiency; Create learning materials,"English Language Teaching, Business Communication, Curriculum Development","TOEFL/IELTS Certification, Corporate Training Experience",2,Bachelor's Degree,"Teaching License, TEFL Certification",Lusaka,Lusaka Province,5000,9000,Contract,Full-time,English (Fluent),10/12/2025,28/10/2025,"Professional development, Language training resources","Senior teacher roles, Corporate training, Curriculum design",Medium (51-200),Education
JOB000023,IT Instructor,David Kaunda Technical School,Education,White,David Kaunda Technical School is hiring an IT Instructor to train students in computer skills and technology applications. You will prepare the next generation of Zambian tech professionals through hands-on training and practical skill development.,Teach IT courses; Develop practical exercises; Assess student projects; Maintain computer labs,"Programming, Computer Hardware, Software Applications, Networking","Cybersecurity, Web Development, Database Management",3,Diploma,"Teaching Certification, IT Certifications",Lusaka,Lusaka Province,4500,8500,Permanent,Full-time,"English (Proficient), Bemba",18/12/2025,06/11/2025,"Housing allowance, Technical training, Equipment access","Department head, Technical coordinator, Industry partnerships",Small (1-50),Education
JOB000024,Medical Lecturer,Levy Mwanawasa Medical University,Education,White,Levy Mwanawasa Medical University seeks a Medical Lecturer to educate future healthcare professionals. You will combine clinical expertise with teaching excellence to train the next generation of Zambian doctors and medical staff.,Deliver medical lectures; Supervise clinical training; Conduct research; Develop curriculum,"Medical Knowledge, Teaching Skills, Research Methodology","Clinical Specialization, Publication Experience",5,Master's Degree,"Medical Council Registration, Teaching Certification",Lusaka,Lusaka Province,10000,18000,Permanent,Full-time,English (Fluent),20/12/2025,08/11/2025,"Research funding, Clinical practice opportunities, Housing","Professor promotion, Research leadership, Department chair",Large (201-1000),Education
JOB000025,Business Studies Teacher,Evelyn Hone College,Education,White,"Evelyn Hone College requires a Business Studies Teacher to prepare students for careers in Zambia's business sector. You will teach entrepreneurship, management, and business principles to college-level students.",Teach business courses; Develop case studies; Supervise projects; Career guidance,"Business Management, Entrepreneurship, Teaching Methods","Industry Experience, Consulting Background",4,Bachelor's Degree,"Teaching License, Business Certifications",Lusaka,Lusaka Province,6000,11000,Permanent,Full-time,English (Fluent),16/12/2025,04/11/2025,"Professional development, Industry networking opportunities","Department leadership, Program coordination, Corporate partnerships",Medium (51-200),Education
JOB000026,Agriculture Educator,Natural Resources Development College,Education,White,Natural Resources Development College is seeking an Agriculture Educator to train students in modern farming techniques and sustainable agriculture practices for Zambia's vital agricultural sector.,Teach agriculture courses; Supervise farm practicals; Develop curriculum; Research projects,"Crop Science, Animal Husbandry, Sustainable Agriculture","Research Experience, Industry Partnerships",3,Bachelor's Degree,"Teaching Certification, Agriculture Specialization",Lusaka,Lusaka Province,5000,9500,Permanent,Full-time,English (Proficient),13/12/2025,31/10/2025,"Housing, Research plots, Industry exposure","Department head, Research leadership, Extension services",Medium (51-200),Education
JOB000027,Accountant,Zanaco,Business,White,Zanaco is hiring an Accountant to manage financial records and ensure compliance with Zambian accounting standards. You will work in a dynamic banking environment supporting financial operations across multiple branches.,Maintain financial records; Prepare reports; Process transactions; Ensure compliance,"Accounting Principles, Financial Reporting, Tax Knowledge","CPA, ACCA, Banking Experience",3,Bachelor's Degree,"CA Zambia, ACCA",Lusaka,Lusaka Province,7000,13000,Permanent,Full-time,English (Proficient),15/12/2025,01/11/2025,"Banking benefits, Loan facilities, Professional development","Senior accountant, Financial controller, Management roles",Large (201-1000),Business
JOB000028,Business Analyst,Stanbic Bank Zambia,Business,White,Stanbic Bank Zambia seeks a Business Analyst to optimize banking processes and drive operational efficiency. You will analyze business requirements and implement solutions that enhance customer service and internal operations.,Analyze business processes; Document requirements; Implement solutions; Stakeholder management,"Business Analysis, Process Mapping, Data Analysis","Banking Knowledge, Project Management, SQL",4,Bachelor's Degree,"CBAP, PMP",Ndola,Copperbelt Province,8000,15000,Permanent,Full-time,English (Proficient),18/12/2025,06/11/2025,"Comprehensive banking package, Performance bonus, Training","Senior analyst, Project manager, Product management",Enterprise (1000+),Business
JOB000029,Marketing Manager,Standard Chartered Zambia,Business,White,Standard Chartered Zambia is looking for a Marketing Manager to develop and execute marketing strategies for our banking products and services across Zambia.,Develop marketing strategies; Manage campaigns; Analyze market trends; Budget management,"Marketing Strategy, Digital Marketing, Brand Management","Banking Products, Market Research, Analytics",5,Bachelor's Degree,"Digital Marketing Certification, CIM",Lusaka,Lusaka Province,12000,22000,Permanent,Full-time,English (Fluent),20/12/2025,08/11/2025,"Comprehensive benefits, Marketing budget, International exposure","Head of marketing, Regional roles, Strategic leadership",Enterprise (1000+),Business
JOB000030,HR Specialist,AB Bank Zambia,Business,White,"AB Bank Zambia requires an HR Specialist to manage recruitment, employee relations, and talent development in our growing banking organization.",Recruitment; Employee relations; Performance management; Training development,"HR Management, Recruitment, Labor Laws","Banking HR, Talent Management, HRIS",3,Bachelor's Degree,"HR Certification, CIPD",Kitwe,Copperbelt Province,6000,11000,Permanent,Full-time,"English (Proficient), Bemba",12/12/2025,30/10/2025,"Banking benefits, Professional development, Flexible work","HR manager, Talent acquisition lead, HR business partner",Medium (51-200),Business
JOB000031,Audit Senior,PwC Zambia,Business,White,PwC Zambia is seeking an Audit Senior to lead audit engagements for clients across various sectors in Zambia. You will work with a diverse client portfolio ensuring compliance and financial integrity.,Lead audit engagements; Review financial statements; Manage audit teams; Client communication,"Auditing Standards, Financial Analysis, Risk Assessment","CPA, IFRS Knowledge, Industry Specialization",4,Bachelor's Degree,"CA Zambia, ACCA",Lusaka,Lusaka Province,10000,18000,Permanent,Full-time,English (Fluent),14/12/2025,02/11/2025,"International exposure, Professional qualifications, Bonus","Audit manager, Partner track, Specialization roles",Large (201-1000),Business
JOB000032,Tax Consultant,KPMG Zambia,Business,White,KPMG Zambia requires a Tax Consultant to provide tax advisory services to corporate clients navigating Zambia's tax regulations and compliance requirements.,Tax planning; Compliance review; Client advisory; Research tax laws,"Tax Legislation, Compliance, Advisory Skills","International Tax, Transfer Pricing, Tax Software",3,Bachelor's Degree,"Tax Certification, ACCA",Lusaka,Lusaka Province,9000,16000,Permanent,Full-time,English (Proficient),16/12/2025,04/11/2025,"Professional development, International training, Performance bonus","Senior consultant, Manager roles, Specialization",Large (201-1000),Business
JOB000033,Management Consultant,Grant Thornton Zambia,Business,White,Grant Thornton Zambia is looking for a Management Consultant to help clients improve business performance and implement strategic initiatives across Zambian industries.,Business analysis; Strategy development; Implementation support; Client workshops,"Consulting Frameworks, Business Strategy, Change Management","Industry Specialization, Project Management",4,Master's Degree,Management Consulting Certification,Ndola,Copperbelt Province,11000,20000,Contract,Full-time,English (Fluent),19/12/2025,07/11/2025,"Performance bonus, International projects, Professional growth","Senior consultant, Practice lead, Partner track",Medium (51-200),Business
JOB000034,Investment Analyst,Zambia Development Agency,Business,White,Zambia Development Agency seeks an Investment Analyst to evaluate investment opportunities and promote economic development across Zambia.,Investment analysis; Market research; Project evaluation; Report preparation,"Financial Modeling, Investment Analysis, Market Research","Economic Development, Project Finance",2,Bachelor's Degree,"CFA, Financial Modeling Certification",Lusaka,Lusaka Province,6500,12000,Permanent,Full-time,English (Proficient),11/12/2025,29/10/2025,"Government benefits, Research opportunities, Travel","Senior analyst, Portfolio management, Economic advisor",Medium (51-200),Business
JOB000035,Compliance Officer,Zambia Revenue Authority,Business,White,Zambia Revenue Authority requires a Compliance Officer to ensure tax compliance and regulatory adherence across registered businesses in Zambia.,Compliance monitoring; Investigations; Regulatory guidance; Reporting,"Tax Laws, Compliance Procedures, Investigation Skills","Legal Background, Accounting Knowledge",3,Bachelor's Degree,"Compliance Certification, Legal Qualification",Lusaka,Lusaka Province,7000,13000,Permanent,Full-time,English (Proficient),13/12/2025,31/10/2025,"Government benefits, Security, Career stability","Senior compliance roles, Management positions, Legal advisor",Large (201-1000),Business
JOB000036,Civil Engineer,Zambia Engineering Corporation,Engineering,White,Zambia Engineering Corporation is hiring a Civil Engineer to work on infrastructure projects supporting Zambia's development and construction sector.,Design structures; Project management; Site supervision; Quality control,"Civil Engineering, Structural Design, Project Management","AutoCAD, Construction Management, Bridge Engineering",4,Bachelor's Degree,"Engineering Registration, PMP",Lusaka,Lusaka Province,9000,17000,Permanent,Full-time,English (Proficient),15/12/2025,01/11/2025,"Housing allowance, Project bonuses, Professional development","Project manager, Senior engineer, Design specialist",Large (201-1000),Engineering
JOB000037,Mining Engineer,Mopani Copper Mines,Engineering,White,Mopani Copper Mines seeks a Mining Engineer to optimize mining operations and ensure safety and efficiency in copper extraction processes.,Mine planning; Safety management; Production optimization; Resource estimation,"Mining Engineering, Safety Systems, Production Planning","Mine Software, Geology Knowledge, Environmental Management",5,Bachelor's Degree,"Mining Engineering License, Safety Certification",Kitwe,Copperbelt Province,12000,23000,Permanent,Full-time,English (Proficient),18/12/2025,06/11/2025,"Mining benefits, Housing, Safety bonuses, Travel allowance","Senior engineer, Mine manager, Technical superintendent",Large (201-1000),Engineering
JOB000038,Electrical Engineer,Konkola Copper Mines,Engineering,White,Konkola Copper Mines requires an Electrical Engineer to maintain and improve electrical systems supporting mining operations and infrastructure.,Maintain electrical systems; Design upgrades; Safety compliance; Troubleshooting,"Electrical Engineering, Power Systems, Maintenance Management","Mining Electrical Systems, Automation, Instrumentation",4,Bachelor's Degree,"Engineering Registration, Electrical License",Chingola,Copperbelt Province,10000,19000,Permanent,Shift work,English (Proficient),20/12/2025,08/11/2025,"Comprehensive mining package, Housing, Education allowance","Senior engineer, Electrical superintendent, Project lead",Enterprise (1000+),Engineering
JOB000039,Mechanical Engineer,First Quantum Minerals,Engineering,White,First Quantum Minerals is looking for a Mechanical Engineer to maintain heavy mining equipment and ensure operational reliability in our mining operations.,Equipment maintenance; Reliability engineering; Project management; Team supervision,"Mechanical Engineering, Maintenance Systems, Hydraulics","Mining Equipment, Reliability Engineering, CAD",3,Bachelor's Degree,"Engineering Registration, Maintenance Certifications",Solwezi,North-Western Province,9500,18000,Permanent,Full-time,English (Proficient),14/12/2025,02/11/2025,"Mining benefits, Remote allowance, Professional development","Maintenance superintendent, Project manager, Reliability lead",Enterprise (1000+),Engineering
JOB000040,Structural Engineer,Zambia Railways,Engineering,White,"Zambia Railways requires a Structural Engineer to design and maintain railway infrastructure including bridges, stations, and support structures across the network.",Structural design; Inspection; Maintenance planning; Project management,"Structural Engineering, Bridge Design, Railway Infrastructure","AutoCAD, Structural Analysis, Construction Management",4,Bachelor's Degree,"Structural Engineering License, Railway Certification",Kabwe,Central Province,8500,16000,Permanent,Full-time,English (Proficient),16/12/2025,04/11/2025,"Railway benefits, Travel passes, Housing allowance","Chief engineer, Project director, Infrastructure manager",Large (201-1000),Engineering
JOB000041,Water Engineer,Road Development Agency,Engineering,White,Road Development Agency seeks a Water Engineer to design drainage systems and manage water resources for road infrastructure projects across Zambia.,Drainage design; Water management; Environmental compliance; Site supervision,"Water Engineering, Hydrology, Drainage Design","Environmental Engineering, GIS, Project Management",3,Bachelor's Degree,"Water Engineering Registration, Environmental Certification",Lusaka,Lusaka Province,8000,15000,Contract,Full-time,English (Proficient),19/12/2025,07/11/2025,"Government benefits, Project allowances, Professional memberships","Senior engineer, Project manager, Environmental specialist",Medium (51-200),Engineering
